check_id,check_name,status,message,evidence
RMS.1,Remove step node exported,PASS,Remove step step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_9 is present as a Step node.,procedural_reasoning_graph/procedural_reasoning_graph_nodes.csv
RMS.2,Remove REQUIRES constraint exported,PASS,"Remove step exposes requires(installed, front_wheel_assy, front_chassis).",procedural_reasoning_graph/procedural_reasoning_graph_edges.csv
RMS.3,Remove PRODUCES constraint exported,PASS,"Remove step exposes produces(removed, front_wheel_assy, front_chassis).",procedural_reasoning_graph/procedural_reasoning_graph_edges.csv
RMS.4,Remove depends on active install support,PASS,Remove step has 1 DEPENDS_ON edge(s) to prior support.,procedural_reasoning_graph/procedural_reasoning_graph_edges.csv
RMS.5,Provisional dependency property exported,PASS,"DEPENDS_ON edges carry provisional=true/false; sample support is accepted, so provisional=false.",procedural_reasoning_graph/procedural_reasoning_graph_edges.csv
RMS.6,Invalidation exposed on Step node,PASS,Remove Step node carries invalidates_effect_count=1 and invalidated_effects details.,procedural_reasoning_graph/procedural_reasoning_graph_nodes.csv
RMS.7,No later dependency uses invalidated installed effect,PASS,"No later DEPENDS_ON edge uses installed(front_wheel_assy, front_chassis) after Step 9 removal.",procedural_reasoning_graph/procedural_reasoning_graph_edges.csv
RMS.8,No dependency from rejected support,PASS,No DEPENDS_ON edge targets a rejected support step in this graph.,procedural_reasoning_graph/procedural_reasoning_graph_edges.csv
RMS.9,Remove rule coverage diagnostics,PASS,Remove action is covered by Layer 3 rules and is not reported as no_applicable_rule.,rule_coverage_diagnostics.csv
RMS.10,Baseline Evaluation1 preserved,PASS,Original Evaluation1 folder remains the before-case evidence; post-change artifacts are in Evaluation1_remove_semantics.,docs/reasoning_layers/Evaluation1/
